Id,District number,District Name,Neighborhood Number,Neighborhood Name,Street,Weekday,Weekday Number,Year,Month Number,Month,Day,Hour,Part of the Day,Cause,Cause Number,Deaths,Mild Injured,Seriously Injured,Victims,Vehicles Involved,Latitude,Longitude,Mult_Vic,Mult_Cars,Corner,Serious
2017S005169    ,10,Sant Martí,65,el Clot,CORTS CATALANES / GLÒRIES CATALANES,Thursday,2,2017,6,June,13,9,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.40647018023576,2.189186556530361,No,Yes,Yes,No
2017S006669    ,10,Sant Martí,65,el Clot,CORTS CATALANES,Thursday,2,2017,8,August,1,19,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.40647018023576,2.189186556530361,No,Yes,No,No
2017S005643    ,10,Sant Martí,65,el Clot,BADAJOZ / DIAGONAL,Wednesday,3,2017,6,June,28,19,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.40647018023576,2.189186556530361,No,Yes,Yes,No
2017S000296    ,10,Sant Martí,65,el Clot,INDEPENDÈNCIA / MERIDIANA,Tuesday,4,2017,1,January,12,12,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.40672652343331,2.1882781666956665,No,Yes,Yes,No
2017S000609    ,10,Sant Martí,65,el Clot,ARAGÓ,Monday,1,2017,1,January,23,16,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.409386850962356,2.1866664462637857,No,Yes,No,No
2017S005444    ,10,Sant Martí,72,Sant Martí de Provençals,CORTS CATALANES,Wednesday,3,2017,6,June,21,19,Afternoon,Not pedestrian at fault,2,0,1,0,1,1,41.41340685048335,2.1977453593986835,No,No,No,No
2017S007332    ,10,Sant Martí,72,Sant Martí de Provençals,CORTS CATALANES / ESPRONCEDA,Friday,5,2017,9,September,1,18,Afternoon,Not pedestrian at fault,2,0,0,0,0,1,41.41340685048335,2.1977453593986835,No,No,Yes,No
2017S000726    ,10,Sant Martí,72,Sant Martí de Provençals,ESPRONCEDA / RBLA GUIPÚSCOA,Friday,5,2017,1,January,27,17,Afternoon,Not pedestrian at fault,2,0,2,0,2,2,41.418928462044235,2.1949772076222707,Yes,Yes,Yes,No
2017S001891    ,10,Sant Martí,72,Sant Martí de Provençals,RBLA GUIPÚSCOA,Wednesday,3,2017,3,March,8,10,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.41608873798492,2.1950245984149035,No,Yes,No,No
2017S000532    ,10,Sant Martí,65,el Clot,INDEPENDÈNCIA,Friday,5,2017,1,January,20,11,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.40737019202697,2.1872820313869714,No,Yes,No,No
2017S006453    ,10,Sant Martí,65,el Clot,CONSELL DE CENT / INDEPENDÈNCIA,Monday,1,2017,7,July,24,15,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.40796649433192,2.1864545659665855,No,Yes,Yes,No
2017S004345    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,VALÈNCIA,Thursday,2,2017,5,May,16,13,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.412085575382285,2.18746866365335,No,Yes,No,No
2017S000869    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,MERIDIANA,Wednesday,3,2017,2,February,1,18,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.413034461542665,2.1869641101290425,No,Yes,No,No
2017S001562    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,MERIDIANA,Saturday,6,2017,2,February,25,8,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.4116170851802,2.1876584034549222,No,Yes,No,No
2017S009772    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,MERIDIANA / VALÈNCIA,Friday,5,2017,11,November,24,8,Morning,Not pedestrian at fault,2,0,2,0,2,3,41.41172841626395,2.1876582129501743,Yes,Yes,Yes,No
